S2 LUI Lua binding table -- g_luiLuaBindings @ IDA 0x00B37F30, 664 entries
luaL_Reg {const char* name, lua_CFunction fn}, 16-byte stride.
Self-naming: name and pointer in the same record, so every name is PROVEN.

PlaySound                                          0x00108FC0
StopSound                                          0x00109210
FadeSound                                          0x001092D0
IsSoundPlaying                                     0x00109450
PlayMusic                                          0x00109510
StopMusic                                          0x00109700
FadeMusic                                          0x00109790
SetMusicState                                      0x00109970
FlushSoundState                                    0x001099F0
ConvertEntNumToHandle                              0x00109A30
CallClientscript                                   0x00109AF0
GetLuiInUse                                        0x00109C00
SetLuiInUse                                        0x00109C50
GetLuiRoot                                         0x00109E10
GetAspectRatio                                     0x00109EA0
Is43AspectRatio                                    0x00109ED0
AddKeyCatcherSubscriber                            0x00109FC0
RemoveKeyCatcherSubscriber                         0x00109F30
IndexForNetConstString                             0x0010A050
NetConstStringFromIndex                            0x0010A1D0
NetConstStrings_AreStringsLoaded                   0x0010A2A0
NotifyServer                                       0x0010A2F0
NotifyServerString                                 0x0010A4F0
NotifyServerKiosk                                  0x0010A700
WatchDvar                                          0x0010A9A0
StopWatchingDvar                                   0x0010AA80
GetDvarString                                      0x0010AB60
GetDvarInt                                         0x0010AC50
GetDvarFloat                                       0x0010ADD0
GetDvarBool                                        0x0010AE90
GetDvarEnumNext                                    0x0010AF70
GetDvarEnumPrev                                    0x0010B0F0
GetDvarEnumList                                    0x0010B270
GetDvarType                                        0x0010B440
SetDvarFromString                                  0x0010B570
SetDvarString                                      0x0010B670
SetDvarInt                                         0x0010B7C0
SetDvarFloat                                       0x0010B910
SetDvarBool                                        0x0010BB10
SetDvarColorFromInt                                0x0010BC50
BitwiseAnd                                         0x0010BDE0
BitwiseOr                                          0x0010BF20
BitwiseShiftLeft                                   0x0010C060
BitwiseShiftRight                                  0x0010C1B0
IsBitSet                                           0x0010C300
SetSystemLink                                      0x0010C460
SetOnlineGame                                      0x0010C500
SetSplitScreen                                     0x0010C650
SetHubTutorialActive                               0x0010C6F0
GetSystemLink                                      0x0010C790
GetOnlineGame                                      0x0010C7D0
GetSplitScreen                                     0x0010C810
GetHubTutorialActive                               0x0010C850
AdjustFontSizeByLanguage                           0x0010C890
ShouldSwapEnterButton                              0x0011BB00
GetDWSynchronizedUTCTime                           0x0010C930
GetDWSynchronizedUTCTimeAsTable                    0x0010C960
GetTimeUTC                                         0x0010CAA0
GetTimeMsecs                                       0x0010CBB0
MarkLocalized                                      0x0010CBF0
IsLocalizedStringNilOrEmpty                        0x0010CCA0
Localize                                           0x0010CD70
LocalizeLong                                       0x0010D030
IsNetworkConnected                                 0x0010D130
IsUserSignedIn                                     0x0010D150
IsUserSignedInToLive                               0x0010D1F0
IsUserSignedInForCommerce                          0x0010D2D0
IsUserAGuest                                       0x0010D370
IsProfileSignedIn                                  0x0010D490
UserCanPlayOnline                                  0x0010D530
UserIsGuest                                        0x0010D5F0
UserCanAccessMPLiveMenu                            0x0010D690
UserCanAccessSystemLinkMenu                        0x0010D750
UserCanAccessSPMenu                                0x0010D810
UserCanAccessLocalPlayMenu                         0x0010D8D0
UserOnlineDataFetched                              0x0010D990
OfflineProfileCanSave                              0x0010DA70
LocalClientProfileCanSave                          0x0010DB70
OfflineProfileIsSelected                           0x0010DB90
AllSplitscreenProfilesSignedIn                     0x0010DBB0
AllSplitscreenProfilesCanSave                      0x0010DBD0
AllSplitscreenPlayersInParty                       0x0010DBF0
UserWithoutOfflineProfile                          0x0010DC10
UserCanAccessStore                                 0x0010DCA0
UserCanAccessFriendsList                           0x0010DCC0
GetProfileKeyAction                                0x0010DD50
IsActionMapped                                     0x0010DE90
GetProfileBitfieldData                             0x0010DF60
SetProfileBitfieldData                             0x0010E0E0
AddAchievement                                     0x0010E270
EnumerateContent                                   0x0010E310
Content_IsEnumerationDone                          0x0010E390
CheckSPEntitlements                                0x0010E3D0
SendSPMatchData                                    0x0010E3E0
GetProfileData                                     0x0010E3F0
SetProfileData                                     0x0010E630
